,X,TrialId,Prime,AOI1,AOI2,FirstFixation,FirstFixationTime,PrimeWord,PrimeNasal,PrimeVoiced,CompetitorWord,CompetitorNasal,CompetitorVoiced,PrimeTime,CompetitorNas,Subject
1,1,1,sent_late,sent,send,253,843.3333333,sent,TRUE,FALSE,send,TRUE,TRUE,late,Nasal,1
2,2,2,lend_early,lend,lent,211,703.3333333,lend,TRUE,TRUE,lent,TRUE,FALSE,early,Nasal,1
3,3,3,sent_early,sent,set,194,646.6666667,sent,TRUE,FALSE,set,FALSE,FALSE,early,Oral,1
4,4,4,bent_early,bent,bend,143,476.6666667,bent,TRUE,FALSE,bend,TRUE,TRUE,early,Nasal,1
5,5,5,send_late,send,said,214,713.3333333,send,TRUE,TRUE,said,FALSE,TRUE,late,Oral,1
6,6,6,sent_early,set,sent,206,686.6666667,sent,TRUE,FALSE,set,FALSE,FALSE,early,Oral,1
7,7,7,set,set,said,267,890,set,FALSE,FALSE,said,FALSE,TRUE,NA,Oral,1
8,8,8,bent_early,bent,bet,154,513.3333333,bent,TRUE,FALSE,bet,FALSE,FALSE,early,Oral,1
9,9,9,bent_late,bent,bet,185,616.6666667,bent,TRUE,FALSE,bet,FALSE,FALSE,late,Oral,1
10,10,10,bed,bend,bed,156,520,bed,FALSE,TRUE,bend,TRUE,TRUE,NA,Nasal,1
11,11,11,bent_late,bend,bent,191,636.6666667,bent,TRUE,FALSE,bend,TRUE,TRUE,late,Nasal,1
12,12,12,bent_early,bet,bent,167,556.6666667,bent,TRUE,FALSE,bet,FALSE,FALSE,early,Oral,1
13,13,13,bend_early,bend,bed,193,643.3333333,bend,TRUE,TRUE,bed,FALSE,TRUE,early,Oral,1
14,14,14,bet,bet,bent,206,686.6666667,bet,FALSE,FALSE,bent,TRUE,FALSE,NA,Nasal,1
15,15,15,sent_late,set,sent,178,593.3333333,sent,TRUE,FALSE,set,FALSE,FALSE,late,Oral,1
16,16,16,bent_early,bend,bent,101,336.6666667,bent,TRUE,FALSE,bend,TRUE,TRUE,early,Nasal,1
17,17,17,send_early,send,said,183,610,send,TRUE,TRUE,said,FALSE,TRUE,early,Oral,1
18,18,18,lent_late,lend,lent,153,510,lent,TRUE,FALSE,lend,TRUE,TRUE,late,Nasal,1
19,19,19,said,set,said,187,623.3333333,said,FALSE,TRUE,set,FALSE,FALSE,NA,Oral,1
20,20,20,send_late,said,send,167,556.6666667,send,TRUE,TRUE,said,FALSE,TRUE,late,Oral,1
21,21,21,sent_early,sent,send,191,636.6666667,sent,TRUE,FALSE,send,TRUE,TRUE,early,Nasal,1
22,22,22,bet,bent,bet,129,430,bet,FALSE,FALSE,bent,TRUE,FALSE,NA,Nasal,1
23,23,23,lent_late,let,lent,181,603.3333333,lent,TRUE,FALSE,let,FALSE,FALSE,late,Oral,1
24,24,24,bet,bet,bed,177,590,bet,FALSE,FALSE,bed,FALSE,TRUE,NA,Oral,1
25,25,25,send_early,send,sent,201,670,send,TRUE,TRUE,sent,TRUE,FALSE,early,Nasal,1
26,26,26,bed,bet,bed,113,376.6666667,bed,FALSE,TRUE,bet,FALSE,FALSE,NA,Oral,1
27,27,27,sent_early,send,sent,197,656.6666667,sent,TRUE,FALSE,send,TRUE,TRUE,early,Nasal,1
28,28,28,let,led,let,164,546.6666667,let,FALSE,FALSE,led,FALSE,TRUE,NA,Oral,1
29,29,29,said,said,send,145,483.3333333,said,FALSE,TRUE,send,TRUE,TRUE,NA,Nasal,1
30,30,30,bet,bed,bet,186,620,bet,FALSE,FALSE,bed,FALSE,TRUE,NA,Oral,1
31,31,31,lend_early,led,lend,118,393.3333333,lend,TRUE,TRUE,led,FALSE,TRUE,early,Oral,1
32,32,32,send_late,sent,send,110,366.6666667,send,TRUE,TRUE,sent,TRUE,FALSE,late,Nasal,1
33,33,33,bend_late,bed,bend,225,750,bend,TRUE,TRUE,bed,FALSE,TRUE,late,Oral,1
34,34,34,lent_early,lent,lend,139,463.3333333,lent,TRUE,FALSE,lend,TRUE,TRUE,early,Nasal,1
35,35,35,lent_late,lent,lend,174,580,lent,TRUE,FALSE,lend,TRUE,TRUE,late,Nasal,1
36,36,36,let,let,lent,152,506.6666667,let,FALSE,FALSE,lent,TRUE,FALSE,NA,Nasal,1
37,37,37,send_early,sent,send,178,593.3333333,send,TRUE,TRUE,sent,TRUE,FALSE,early,Nasal,1
38,38,38,bent_late,bent,bend,176,586.6666667,bent,TRUE,FALSE,bend,TRUE,TRUE,late,Nasal,1
39,39,39,set,sent,set,194,646.6666667,set,FALSE,FALSE,sent,TRUE,FALSE,NA,Nasal,1
40,40,40,set,set,sent,197,656.6666667,set,FALSE,FALSE,sent,TRUE,FALSE,NA,Nasal,1
