"","TrialId","Prime","AOI1","AOI2","FirstFixation","FirstFixationTime","PrimeWord","PrimeNasal","PrimeVoiced","CompetitorWord","CompetitorNasal","CompetitorVoiced","PrimeTime"
"1",1,"sent_late","sent","send",253,843.333333333333,"sent",TRUE,FALSE,"send",TRUE,TRUE,"late"
"2",2,"lend_early","lend","lent",211,703.333333333333,"lend",TRUE,TRUE,"lent",TRUE,FALSE,"early"
"3",3,"sent_early","sent","set",194,646.666666666667,"sent",TRUE,FALSE,"set",FALSE,FALSE,"early"
"4",4,"bent_early","bent","bend",143,476.666666666667,"bent",TRUE,FALSE,"bend",TRUE,TRUE,"early"
"5",5,"send_late","send","said",214,713.333333333333,"send",TRUE,TRUE,"said",FALSE,TRUE,"late"
"6",6,"sent_early","set","sent",206,686.666666666667,"sent",TRUE,FALSE,"set",FALSE,FALSE,"early"
"7",7,"set","set","said",267,890,"set",FALSE,FALSE,"said",FALSE,TRUE,NA
"8",8,"bent_early","bent","bet",154,513.333333333333,"bent",TRUE,FALSE,"bet",FALSE,FALSE,"early"
"9",9,"bent_late","bent","bet",185,616.666666666667,"bent",TRUE,FALSE,"bet",FALSE,FALSE,"late"
"10",10,"bed","bend","bed",156,520,"bed",FALSE,TRUE,"bend",TRUE,TRUE,NA
"11",11,"bent_late","bend","bent",191,636.666666666667,"bent",TRUE,FALSE,"bend",TRUE,TRUE,"late"
"12",12,"bent_early","bet","bent",167,556.666666666667,"bent",TRUE,FALSE,"bet",FALSE,FALSE,"early"
"13",13,"bend_early","bend","bed",193,643.333333333333,"bend",TRUE,TRUE,"bed",FALSE,TRUE,"early"
"14",14,"bet","bet","bent",206,686.666666666667,"bet",FALSE,FALSE,"bent",TRUE,FALSE,NA
"15",15,"sent_late","set","sent",178,593.333333333333,"sent",TRUE,FALSE,"set",FALSE,FALSE,"late"
"16",16,"bent_early","bend","bent",101,336.666666666667,"bent",TRUE,FALSE,"bend",TRUE,TRUE,"early"
"17",17,"send_early","send","said",183,610,"send",TRUE,TRUE,"said",FALSE,TRUE,"early"
"18",18,"lent_late","lend","lent",153,510,"lent",TRUE,FALSE,"lend",TRUE,TRUE,"late"
"19",19,"said","set","said",187,623.333333333333,"said",FALSE,TRUE,"set",FALSE,FALSE,NA
"20",20,"send_late","said","send",167,556.666666666667,"send",TRUE,TRUE,"said",FALSE,TRUE,"late"
"21",21,"sent_early","sent","send",191,636.666666666667,"sent",TRUE,FALSE,"send",TRUE,TRUE,"early"
